Frame,AnkleX,AnkleY,HeelX,HeelY,MetatX,MetatY,ToeX,ToeY,KneeX,KneeY,HipX,HipY,angle_old,angle,Cuff_x,Cuff_y,thigh_length,spring length,GroundRX,GroundRY,AnkleRX,AnkleRY,GroundCoFPX,AnkleM,KneeRX,KneeRY,KneeM,HipRX,HipRY,HipM,FootAA,FootAX,FootAY,FootCoMX,FootCoMY,LegAX,LegAY,LegAA,LegCoMX,LegCoMY,ThighAA,ThighAX,ThighAY,ThighCoMX,ThighCoMY,average_spring_length,old_frame
31,130.47,10.12,124.36,5.03,140.01,3.25,147.01,4.01,138.74,51.6,139.38,82.9,88.82862013,91.17137987,139.7337978,100.2029257,31.30654245,22.03656216,-16.8,375,17.5,-367.3,1.39,-30.3,20.7,-343.7,7,27.3,-296.3,16.7,6.31,0.86,-0.13,1.352,0.067,1.21,-0.95,-0.22,1.35,0.335,0.01,1.15,-1.46,1.39,0.693,23.21831218,48
32,130.49,9.99,124.64,5.28,140.16,3.12,147.04,4.52,139.15,51.09,140.67,82.78,87.25393214,92.74606786,141.5192659,100.4860765,31.7264322,22.05554246,-14.5,386.1,15.2,-378.2,1.396,-33.5,18.3,-352.3,5.9,27.9,-300.2,17.7,5.5,0.88,0.13,1.352,0.067,1.17,-0.09,-1.19,1.355,0.334,-2.1,1.7,-0.63,1.402,0.691,23.47466994,49
33,130.56,9.99,124.2,4.9,139.6,3.63,146.85,4.01,140.11,51.09,142.02,82.65,86.53670389,93.46329611,143.0842723,100.2355682,31.61774344,21.83083274,-9.6,400.3,10.3,-392.4,1.406,-38.8,13,-364.3,2.3,23.4,-308.6,15.2,1.74,0.85,0.22,1.353,0.068,1,0.72,-1.64,1.36,0.333,-3.38,1.85,0.01,1.414,0.689,23.20367622,50
34,130.49,10.24,124.76,4.77,140.03,3.5,147.28,3.75,140.92,50.58,143.85,82.01,84.67410622,95.32589378,145.4805119,99.50044008,31.56627631,21.42241186,-3.8,418.8,4.2,-410.8,1.417,-45.1,6,-381.2,-2.3,14.5,-323,11.2,-2.68,0.55,0.32,1.354,0.068,0.66,1.3,-1.93,1.366,0.332,-3.24,1.51,0.45,1.427,0.687,23.30028866,51
35,131.27,10.24,125.17,5.28,140.18,3.63,147.18,4.14,142.22,50.84,146.04,82.4,83.09853218,96.90146782,148.1777282,100.0614403,31.79034445,21.27533703,2.2,441,-2.1,-432.7,1.412,-45.4,-0.9,-402.2,-0.1,5.7,-342.8,14.6,-5.69,0.05,0.66,1.355,0.068,0.45,1.62,-2.99,1.371,0.332,-1.71,1.16,0.67,1.44,0.685,23.43974307,52
36,130.96,10.12,125.24,5.03,140.25,3.37,147.25,4.01,143.05,50.58,147.51,81.63,81.82598493,98.17401507,149.9794795,98.8222286,31.36868024,20.70086052,8.7,465.8,-9,-457,1.424,-53.5,-6.8,-426.3,-5,1,-366.2,12.2,-7.38,-0.32,1.25,1.356,0.068,0.8,1.74,-5.3,1.377,0.332,0.98,1.38,0.79,1.453,0.683,23.37340887,53
37,131.47,10.63,125.49,5.66,140.5,3.37,147.5,3.88,143.69,50.71,148.9,81.5,80.39590911,99.60409089,151.774252,98.48622222,31.22768323,20.30551685,16.5,493.7,-16.8,-484.4,1.428,-58.8,-12.3,-453.7,-6.2,0.1,-393.6,14.7,-10.45,-0.42,1.91,1.357,0.069,1.72,1.74,-8.47,1.383,0.332,4.63,2.18,0.78,1.467,0.681,23.62623629,54
38,131.03,10.63,124.8,6.17,140.07,2.99,146.94,3.75,144.27,50.46,150.5,81.12,78.5140828,101.4859172,153.942221,98.06036851,31.28655462,19.9610316,26.8,523.9,-27.1,-514.2,1.432,-64.8,-19.7,-483.6,-7.9,-2.5,-424.7,16.6,-17.81,-0.41,2.38,1.358,0.07,2.77,1.66,-11.61,1.389,0.333,8.63,3.02,0.58,1.481,0.68,23.7250124,55
39,131.34,10.63,125.61,5.92,140.5,3.37,147.24,3.88,145.59,50.71,152.46,81,77.22108134,102.7789187,156.2333444,97.63676874,31.05931422,19.52860874,40.1,552.6,-40.4,-542.9,1.436,-71.2,-30.9,-513,-10.4,-10.6,-456.2,16.5,-28.5,-0.42,2.38,1.359,0.072,3.58,1.43,-13.88,1.395,0.334,11.95,3.58,0.2,1.495,0.679,23.82206668,56
40,131.8,10.75,125.94,7.06,140.7,3.5,147.45,3.75,147.07,50.58,154.57,81,76.15004034,103.8499597,158.7186778,97.82703713,31.33091764,19.49865964,54.8,576.8,-55,-567.5,1.44,-77.3,-43.5,-538.7,-12.5,-20.3,-484.2,16.1,-38.25,-0.24,1.9,1.36,0.074,4.29,1,-14.88,1.403,0.335,13.92,4.1,-0.19,1.511,0.677,24.22804247,57
