Frame,AnkleX,AnkleY,HeelX,HeelY,MetatX,MetatY,ToeX,ToeY,KneeX,KneeY,HipX,HipY,GroundRX,GroundRY,AnkleRX,AnkleRY,GroundCoFPX,AnkleM,KneeRX,KneeRY,KneeM,HipRX,HipRY,HipM,FootAA,FootAX,FootAY,FootCoMX,FootCoMY,LegAX,LegAY,LegAA,LegCoMX,LegCoMY,ThighAA,ThighAX,ThighAY,ThighCoMX,ThighCoMY
67,126.81,18.64,134.02,18.52,142.42,5.79,148.4,2.86,153.036,48.16,160.02,78.58,65.7,190.1,-53,-179.1,1.478,-24.2,-26.4,-149.3,12.5,-25,-82.3,15.2,21.54,17.606,2.927,1.417,0.125,9.347,1.511,15.67,1.575,0.353,31.71,-1.133,2.641,1.743,0.655
68,129.321,19.79,136.95,21.57,143.69,7.57,149.04,3.63,156.699,48.04,162.54,79.09,41.4,110.8,-26.7,-101.8,1.482,-12.3,-4.1,-71.2,10.6,-16,2.9,11.9,60.42,20.183,0.144,1.434,0.135,7.92,1.867,25.25,1.606,0.356,30.36,-3.131,16.212,1.774,0.652
69,130.986,20.42,139.43,23.35,144.14,7.95,148.59,3.5,159.273,47.02,164.196,77.94,18.4,44.4,-2.1,-37.9,1.486,-3.6,16.9,-6.8,6.8,-3.5,74.9,9.3,100.83,20.377,-3.197,1.456,0.146,6.194,1.874,34.2,1.639,0.359,27.73,-3.921,-6.335,1.804,0.651
70,134.577,21.82,143.81,25.13,146.86,9.74,150.17,4.26,163.557,47.53,167.103,78.83,0,0,17.1,3.5,0,1.4,32.9,34.3,3.6,8.9,122,9,133.15,22.128,-7.568,1.482,0.157,5.495,1.577,42.2,1.672,0.362,24.46,-4.413,6.141,1.833,0.65
71,137.412,22.21,146.95,25.9,149.11,10.75,151.91,4.14,165.924,46.89,168.561,78.2,0,0,16.8,0.3,0,1.4,30.4,29.2,4.6,7.9,120,10.4,148.09,21.138,-11.642,1.513,0.166,4.854,0.504,49.54,1.708,0.366,20.3,-3.697,6.499,1.861,0.65
72,140.751,23.73,150.54,27.17,153.34,12.03,156.52,5.66,169.497,47.27,170.532,78.83,0,0,15.8,-2.5,0,1.4,28,23,5.7,10.7,113.5,12.3,142.55,18.205,-13.868,1.548,0.174,4.267,-0.867,56.03,1.744,0.37,14.67,-2.316,5.733,1.888,0.652
73,143.856,24.24,153.73,27.68,157.17,12.28,160.73,5.92,172.602,47.66,171.801,79.09,0,0,14.3,-4.4,0,1.3,25.4,17.2,6.4,14,104.6,13.6,121.35,17.299,-16.503,1.587,0.179,4.002,-2.503,60.38,1.781,0.374,7.52,-1.553,5.358,1.915,0.655
74,147.591,24.37,157.5,27.93,161.82,12.66,165.38,6.43,175.761,48.16,173.7,79.6,0,0,12.6,-4.9,0,1.1,22.1,13.4,6.3,14.8,96,13.4,93.05,15.234,-16.074,1.629,0.181,3.219,-3.578,61.4,1.819,0.378,-0.87,-1.053,4.359,1.941,0.659
75,151.596,24.5,161.95,27.04,167.29,12.15,170.98,6.68,179.19,48.93,175.644,79.72,0,0,11.1,-3.9,0,0.9,18.1,12.2,5.5,12.8,88.5,11.8,65.7,13.31,-13.931,1.675,0.179,2.151,-4.224,58.96,1.857,0.381,-10.14,-0.84,3.074,1.967,0.665
76,155.25,23.61,165.88,25.77,171.99,10.88,176.57,6.17,182.394,49.31,176.778,80.1,0,0,9.7,-2,0,0.7,14,12.8,4.3,9,80.7,9.4,44.39,10.959,-10.4,1.724,0.174,1.01,-4.211,53.72,1.897,0.383,-19,-0.851,1.27,1.993,0.671
77,159.57,22.84,170.56,25.01,177.81,10.12,182.65,6.17,185.571,50.33,178.812,81,0,0,8.5,0.2,0,0.6,10,14.1,3,3.9,71.1,6.8,29.92,10.244,-8.498,1.775,0.167,0.085,-4.87,46.69,1.936,0.385,-25.45,-1.272,-0.853,2.019,0.677
78,163.872,21.95,175.08,23.1,183.74,9.61,189.21,4.9,188.613,51.22,180.477,81.63,0,0,7.4,2.2,0,0.5,6.6,15.6,1.8,-2,61.1,4.2,20.34,8.816,-5.852,1.829,0.158,-0.698,-4.943,38.96,1.976,0.385,-28.34,-1.773,-2.782,2.045,0.683
79,168.381,21.06,179.83,21.57,189.76,8.97,195.61,4.77,191.394,52.11,182.232,82.14,0,0,6.3,4.3,0,0.5,3.7,17.8,0.6,-8,54.2,2,13.82,6.962,-2.859,1.884,0.147,-1.116,-4.413,31.29,2.016,0.384,-27.92,-2.257,-3.863,2.07,0.689
80,172.98,19.66,184.95,19.28,196.02,7.19,201.75,4.39,194.166,52.62,184.32,82.65,0,0,5.3,6.7,0,0.5,1.6,21.5,-0.5,-13.8,51.8,0.4,9.6,6.245,0.154,1.941,0.135,-1.55,-4.014,24.07,2.055,0.383,-25.47,-3.134,-4.925,2.095,0.695
